[BOUNCE] ball1 f24 dist=246.6 seg=159 gap=0 pen=0.6 vel=(-5.4,4.2) nx=-0.94 ny=0.35
sketch.js:200 [NaN-UPDATE] ball2 f88 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f89 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f89 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f89 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f90 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f90 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f90 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f91 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f91 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f91 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f92 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f92 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f92 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f93 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f93 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f93 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f94 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f94 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f94 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f95 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f95 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f95 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f96 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f96 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f96 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f97 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f97 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f97 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f98 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f98 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f98 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f99 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f99 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f99 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f100 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f100 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f100 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f101 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f101 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f101 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f102 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f102 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f102 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f103 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
